title,DOI,authors,year,google scholar meta
Domain control for neural machine translation,,C Kobus; J Crego; J Senellart,2016,"C Kobus, J Crego, J Senellart - arXiv preprint arXiv:1612.06140, 2016 - arxiv.org"
Scaling neural machine translation to 200 languages,,Nature; 2024,2024,"Nature, 2024 - nature.com"
Learning to translate in real-time with neural machine translation,,J Gu; G Neubig; K Cho; VOK Li,2017,"J Gu, G Neubig, K Cho, VOK Li - … of the 15th Conference of the …, 2017 - aclanthology.org"
The challenges of using neural machine translation for literature,,E Matusov,2019,"E Matusov - … of the qualities of literary machine translation, 2019 - aclanthology.org"
Machine translation systems and quality assessment: a systematic review,,I Rivera-Trigueros,2022,"I Rivera-Trigueros - Language Resources and Evaluation, 2022 - Springer"
Opennmt: Neural machine translation toolkit,,G Klein; Y Kim; Y Deng; V Nguyen…,2018,"G Klein, Y Kim, Y Deng, V Nguyen… - … Machine Translation …, 2018 - aclanthology.org"
Effective approaches to attention-based neural machine translation,,MT Luong; H Pham; CD Manning,2015,"MT Luong, H Pham, CD Manning - Proceedings of the 2015 …, 2015 - aclanthology.org"
Machine translation and the evaluation of its quality,,MS Maučec; G Donaj,2019,"MS Maučec, G Donaj - Recent trends in computational intelligence, 2019 - intechopen.com"
Building a large-scale knowledge base for machine translation,,K Knight; SK Luk,1994,"K Knight, SK Luk - AAAI, 1994 - aclanthology.org"
A unigram orientation model for statistical machine translation,,C Tillmann,2004,"C Tillmann - Proceedings of HLT-NAACL 2004: Short Papers, 2004 - aclanthology.org"
Nearest neighbor machine translation,,U Khandelwal; A Fan; D Jurafsky; L Zettlemoyer…,2020,"U Khandelwal, A Fan, D Jurafsky, L Zettlemoyer… - arXiv preprint arXiv …, 2020 - arxiv.org"
Bleu: a method for automatic evaluation of machine translation,,K Papineni; S Roukos; T Ward…,2002,"K Papineni, S Roukos, T Ward… - Proceedings of the 40th …, 2002 - aclanthology.org"
Following directions using statistical machine translation,,C Matuszek; D Fox; K Koscher,2010,"C Matuszek, D Fox, K Koscher - 2010 5th ACM/IEEE …, 2010 - ieeexplore.ieee.org"
Nematus: a toolkit for neural machine translation,,R Sennrich; O Firat; K Cho; A Birch…,2017,"R Sennrich, O Firat, K Cho, A Birch… - Proceedings of the …, 2017 - aclanthology.org"
Google's multilingual neural machine translation system: Enabling zero-shot translation,,M Johnson; M Schuster; Q Le; M Krikun…,2017,"M Johnson, M Schuster, Q Le, M Krikun… - Transactions of the …, 2017 - aclanthology.org"
An effective approach to unsupervised machine translation,,M Artetxe; G Labaka; E Agirre,2019,"M Artetxe, G Labaka, E Agirre - … of the 57th Annual Meeting of the …, 2019 - aclanthology.org"
Analyzing uncertainty in neural machine translation,,M Ott; M Auli; D Grangier…,2018,"M Ott, M Auli, D Grangier… - … Conference on Machine …, 2018 - proceedings.mlr.press"
Machine translation: A concise history,,J Hutchins,2010,"J Hutchins - 翻譯學報, 2010 - airitilibrary.com"
Machine translation: a knowledge-based approach,,S Nirenburg; J Carbonell; M Tomita,1994,"S Nirenburg, J Carbonell, M Tomita - 1994 - dl.acm.org"
Statistical significance tests for machine translation evaluation,,P Koehn,2004,"P Koehn - Proceedings of the 2004 conference on empirical …, 2004 - aclanthology.org"
Modeling coverage for neural machine translation,,Z Tu; Z Lu; Y Liu; X Liu; H Li,2016,"Z Tu, Z Lu, Y Liu, X Liu, H Li - … of the 54th Annual Meeting of the …, 2016 - aclanthology.org"
Neural machine translation in linear time,,N Kalchbrenner; L Espeholt; K Simonyan…,2016,"N Kalchbrenner, L Espeholt, K Simonyan… - arXiv preprint arXiv …, 2016 - arxiv.org"
The Candide system for machine translation,,A Berger; PF Brown; SA Della Pietra…,1994,"A Berger, PF Brown, SA Della Pietra… - … : Proceedings of a …, 1994 - aclanthology.org"
Opennmt: Open-source toolkit for neural machine translation,,G Klein; Y Kim; Y Deng; J Senellart…,2017,"G Klein, Y Kim, Y Deng, J Senellart… - Proceedings of ACL …, 2017 - aclanthology.org"
Non-autoregressive neural machine translation,,J Gu; J Bradbury; C Xiong; VOK Li; R Socher,2017,"J Gu, J Bradbury, C Xiong, VOK Li, R Socher - arXiv preprint arXiv …, 2017 - arxiv.org"
A survey of domain adaptation for machine translation,,C Chu; R Wang,2020,"C Chu, R Wang - Journal of information processing, 2020 - jstage.jst.go.jp"
Machine translation and global research: Towards improved machine translation literacy in the scholarly community,,L Bowker; JB Ciro,2019,"L Bowker, JB Ciro - 2019 - books.google.com"
On the properties of neural machine translation: Encoder–decoder approaches,,K Cho; B Van Merriënboer; D Bahdanau…,2014,"K Cho, B Van Merriënboer, D Bahdanau… - … in statistical translation, 2014 - aclanthology.org"
Machine translation system in indian perspectives,,SK Dwivedi; PP Sukhadeve,2010,"SK Dwivedi, PP Sukhadeve - Journal of computer science, 2010 - academia.edu"
Quality and machine translation: A realistic objective?,,RFS O'Brien,2009,"RFS O'Brien - The journal of Specialised translation, 2009 - aclanthology.org"
Predicting success in machine translation,,A Birch; M Osborne; P Koehn,2008,"A Birch, M Osborne, P Koehn - Proceedings of the 2008 …, 2008 - aclanthology.org"
How to evaluate machine translation,,JS White,2003,"JS White - Benjamins Translation Library, 2003 - torrossa.com"
Edinburgh neural machine translation systems for WMT 16,,R Sennrich; B Haddow; A Birch,2016,"R Sennrich, B Haddow, A Birch - … on Machine Translation: Volume …, 2016 - aclanthology.org"
Massive exploration of neural machine translation architectures,,D Britz; A Goldie; MT Luong; Q Le,2017,"D Britz, A Goldie, MT Luong, Q Le - Proceedings of the 2017 …, 2017 - aclanthology.org"
Machine translation: Where are we at today,,A Way,2020,"A Way - The Bloomsbury companion to language industry …, 2020 - torrossa.com"
Statistical machine translation: a guide for linguists and translators,,M Hearne; A Way,2011,"M Hearne, A Way - Language and Linguistics Compass, 2011 - Wiley Online Library"
Latest trends in hybrid machine translation and its applications,,MR Costa-Jussa; JAR Fonollosa,2015,"MR Costa-Jussa, JAR Fonollosa - Computer Speech & Language, 2015 - Elsevier"
Neural machine translation with extended context,,J Tiedemann; Y Scherrer,2017,"J Tiedemann, Y Scherrer - … on Discourse in Machine Translation, 2017 - aclanthology.org"
